"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Ethiopia","ETH","Czechia","CZE",2010-05-28,"Legislative",18,NA,NA,16,16,16,NA,7,"TOP 09",7,"Obcanska demokraticka strana",2,"Strana zelenych",0,"Ceska str.socialne demokrat.",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Finland","FIN","Czechia","CZE",2010-05-28,"Legislative",91,NA,NA,73,73,73,NA,33,"TOP 09",22,"Obcanska demokraticka strana",9,"Strana zelenych",3,"Krest.demokr.unie-Cs.str.lid.",2,"Veci verejne",1,"Ceska str.socialne demokrat.",1,"Strana Prav Obcanu ZEMANOVCI",1,"Strana svobodnych obcanu",1,"Ceska piratska strana",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"France","FRA","Czechia","CZE",2010-05-28,"Legislative",792,NA,NA,696,691,691,NA,286,"TOP 09",190,"Obcanska demokraticka strana",80,"Strana zelenych",36,"Ceska str.socialne demokrat.",36,"Veci verejne",26,"Krest.demokr.unie-Cs.str.lid.",13,"Komunisticka str.Cech a Moravy",12,"Strana Prav Obcanu ZEMANOVCI",6,"Suverenita-blok J.Bobosikove",4,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Delnic.str.socialni spravedl.",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",36
"UK","GBR","Czechia","CZE",2010-05-28,"Legislative",828,NA,NA,668,663,663,NA,273,"TOP 09",208,"Obcanska demokraticka strana",78,"Strana zelenych",36,"Ceska str.socialne demokrat.",22,"Veci verejne",13,"Krest.demokr.unie-Cs.str.lid.",7,"Komunisticka str.Cech a Moravy",6,"Strana svobodnych obcanu",6,"Ceska piratska strana",5,"Strana Prav Obcanu ZEMANOVCI",2,"Volte Pr.Blok www.cibulka.net",2,"Delnic.str.socialni spravedl.",1,"Suverenita-blok J.Bobosikove",1,"OBCANE.CZ",1,"Konzervativni strana",1,"EVROPSKY STRED",1,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",36
"Georgia","GEO","Czechia","CZE",2010-05-28,"Legislative",27,NA,NA,24,24,24,NA,9,"Strana zelenych",7,"TOP 09",3,"Obcanska demokraticka strana",2,"Ceska str.socialne demokrat.",2,"Strana Prav Obcanu ZEMANOVCI",1,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Ghana","GHA","Czechia","CZE",2010-05-28,"Legislative",4,NA,NA,3,3,3,NA,2,"Obcanska demokraticka strana",1,"TOP 09",0,"Ceska str.socialne demokrat.",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Greece","GRC","Czechia","CZE",2010-05-28,"Legislative",70,NA,NA,64,64,64,NA,26,"TOP 09",21,"Obcanska demokraticka strana",4,"Strana zelenych",3,"Strana svobodnych obcanu",2,"Ceska str.socialne demokrat.",2,"Veci verejne",2,"Suverenita-blok J.Bobosikove",1,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu ZEMANOVCI",1,"Krest.demokr.unie-Cs.str.lid.",1,"Konzervativni strana",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Croatia","HRV","Czechia","CZE",2010-05-28,"Legislative",102,NA,NA,96,95,95,NA,38,"TOP 09",34,"Obcanska demokraticka strana",6,"Veci verejne",5,"Strana zelenych",4,"Ceska str.socialne demokrat.",3,"Komunisticka str.Cech a Moravy",1,"Strana Prav Obcanu ZEMANOVCI",1,"Krest.demokr.unie-Cs.str.lid.",1,"Strana svobodnych obcanu",1,"Ceska piratska strana",1,"Delnic.str.socialni spravedl.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Hungary","HUN","Czechia","CZE",2010-05-28,"Legislative",126,NA,NA,126,126,126,NA,48,"TOP 09",44,"Obcanska demokraticka strana",15,"Strana zelenych",8,"Veci verejne",4,"Ceska str.socialne demokrat.",2,"Komunisticka str.Cech a Moravy",2,"Krest.demokr.unie-Cs.str.lid.",1,"Strana Prav Obcanu ZEMANOVCI",1,"Suverenita-blok J.Bobosikove",1,"OBCANE.CZ",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",4
"Indonesia","IDN","Czechia","CZE",2010-05-28,"Legislative",27,NA,NA,23,23,23,NA,13,"Obcanska demokraticka strana",6,"TOP 09",2,"Ceska str.socialne demokrat.",1,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",0,"Veci verejne",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Ireland","IRL","Czechia","CZE",2010-05-28,"Legislative",238,NA,NA,201,199,199,NA,83,"TOP 09",52,"Obcanska demokraticka strana",17,"Strana zelenych",13,"Veci verejne",10,"Ceska str.socialne demokrat.",6,"Strana Prav Obcanu ZEMANOVCI",6,"Strana svobodnych obcanu",4,"Krest.demokr.unie-Cs.str.lid.",3,"Komunisticka str.Cech a Moravy",3,"Ceska piratska strana",2,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",10
"Israel","ISR","Czechia","CZE",2010-05-28,"Legislative",116,NA,NA,42,40,40,NA,15,"TOP 09",7,"Obcanska demokraticka strana",7,"Strana zelenych",5,"Krest.demokr.unie-Cs.str.lid.",3,"Ceska str.socialne demokrat.",1,"Veci verejne",1,"Suverenita-blok J.Bobosikove",1,"Strana svobodnych obcanu",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"India","IND","Czechia","CZE",2010-05-28,"Legislative",45,NA,NA,34,34,34,NA,13,"Obcanska demokraticka strana",8,"TOP 09",5,"Strana zelenych",4,"Strana Prav Obcanu ZEMANOVCI",3,"Ceska str.socialne demokrat.",1,"Suverenita-blok J.Bobosikove",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Iraq","IRQ","Czechia","CZE",2010-05-28,"Legislative",7,NA,NA,6,6,6,NA,2,"Strana Prav Obcanu ZEMANOVCI",1,"Ceska str.socialne demokrat.",1,"TOP 09",1,"Obcanska demokraticka strana",1,"Strana zelenych",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Iran","IRN","Czechia","CZE",2010-05-28,"Legislative",11,NA,NA,9,9,9,NA,4,"TOP 09",3,"Strana zelenych",2,"Obcanska demokraticka strana",0,"Ceska str.socialne demokrat.",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Italy","ITA","Czechia","CZE",2010-05-28,"Legislative",319,NA,NA,258,256,256,NA,91,"TOP 09",84,"Obcanska demokraticka strana",39,"Krest.demokr.unie-Cs.str.lid.",16,"Strana zelenych",10,"Ceska str.socialne demokrat.",6,"Veci verejne",3,"Komunisticka str.Cech a Moravy",2,"Strana Prav Obcanu ZEMANOVCI",1,"Suverenita-blok J.Bobosikove",1,"Strana svobodnych obcanu",1,"OBCANE.CZ",1,"Ceska piratska strana",1,"Delnic.str.socialni spravedl.",0,"Volte Pr.Blok www.cibulka.net",0,"Konzervativni strana",0,"EVROPSKY STRED",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",10
"Jordan","JOR","Czechia","CZE",2010-05-28,"Legislative",19,NA,NA,19,19,19,NA,5,"Obcanska demokraticka strana",4,"TOP 09",3,"Strana zelenych",3,"Krest.demokr.unie-Cs.str.lid.",2,"Veci verejne",1,"Ceska str.socialne demokrat.",1,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Japan","JPN","Czechia","CZE",2010-05-28,"Legislative",55,NA,NA,47,47,47,NA,18,"TOP 09",11,"Obcanska demokraticka strana",9,"Strana zelenych",3,"Ceska str.socialne demokrat.",2,"Strana Prav Obcanu ZEMANOVCI",2,"Krest.demokr.unie-Cs.str.lid.",1,"Veci verejne",1,"Strana svobodnych obcanu",0,"Komunisticka str.Cech a Moravy",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Kenya","KEN","Czechia","CZE",2010-05-28,"Legislative",15,NA,NA,7,7,7,NA,3,"TOP 09",2,"Obcanska demokraticka strana",1,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Kosovo",NA,"Czechia","CZE",2010-05-28,"Legislative",167,NA,NA,166,163,163,NA,36,"TOP 09",29,"Ceska str.socialne demokrat.",29,"Obcanska demokraticka strana",26,"Veci verejne",13,"Strana Prav Obcanu ZEMANOVCI",10,"Komunisticka str.Cech a Moravy",7,"Strana zelenych",5,"Suverenita-blok J.Bobosikove",3,"Delnic.str.socialni spravedl.",2,"Krest.demokr.unie-Cs.str.lid.",2,"Strana svobodnych obcanu",1,"EVROPSKY STRED",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",29
"North Korea","PRK","Czechia","CZE",2010-05-28,"Legislative",3,NA,NA,3,3,3,NA,1,"TOP 09",1,"Obcanska demokraticka strana",1,"Veci verejne",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"South Korea","KOR","Czechia","CZE",2010-05-28,"Legislative",35,NA,NA,23,23,23,NA,14,"TOP 09",7,"Obcanska demokraticka strana",1,"Veci verejne",1,"Strana zelenych",0,"Ceska str.socialne demokrat.",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Kuwait","KWT","Czechia","CZE",2010-05-28,"Legislative",25,NA,NA,17,17,17,NA,10,"TOP 09",2,"Ceska str.socialne demokrat.",2,"Komunisticka str.Cech a Moravy",1,"Obcanska demokraticka strana",1,"Veci verejne",1,"OBCANE.CZ",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
"Kazakhstan","KAZ","Czechia","CZE",2010-05-28,"Legislative",18,NA,NA,18,18,18,NA,5,"Strana Prav Obcanu ZEMANOVCI",4,"TOP 09",4,"Obcanska demokraticka strana",3,"Ceska str.socialne demokrat.",1,"Strana svobodnych obcanu",1,"OBCANE.CZ",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Lebanon","LBN","Czechia","CZE",2010-05-28,"Legislative",27,NA,NA,20,20,20,NA,9,"TOP 09",7,"Obcanska demokraticka strana",1,"Ceska str.socialne demokrat.",1,"Veci verejne",1,"Strana Prav Obcanu ZEMANOVCI",1,"Strana zelenych",0,"Komunisticka str.Cech a Moravy",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Lithuania","LTU","Czechia","CZE",2010-05-28,"Legislative",32,NA,NA,31,31,31,NA,15,"Obcanska demokraticka strana",7,"TOP 09",5,"Veci verejne",2,"Krest.demokr.unie-Cs.str.lid.",1,"Ceska str.socialne demokrat.",1,"Strana Prav Obcanu ZEMANOVCI",0,"Komunisticka str.Cech a Moravy",0,"Strana zelenych",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Luxembourg","LUX","Czechia","CZE",2010-05-28,"Legislative",235,NA,NA,204,202,202,NA,76,"TOP 09",56,"Obcanska demokraticka strana",32,"Strana zelenych",12,"Ceska str.socialne demokrat.",9,"Veci verejne",9,"Krest.demokr.unie-Cs.str.lid.",3,"Komunisticka str.Cech a Moravy",2,"Strana Prav Obcanu ZEMANOVCI",2,"Suverenita-blok J.Bobosikove",1,"Strana svobodnych obcanu",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",12
"Latvia","LVA","Czechia","CZE",2010-05-28,"Legislative",49,NA,NA,47,47,47,NA,15,"TOP 09",14,"Obcanska demokraticka strana",7,"Veci verejne",4,"Krest.demokr.unie-Cs.str.lid.",3,"Ceska str.socialne demokrat.",3,"Komunisticka str.Cech a Moravy",1,"Strana zelenych",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Libya","LBY","Czechia","CZE",2010-05-28,"Legislative",22,NA,NA,12,12,12,NA,5,"TOP 09",2,"Obcanska demokraticka strana",2,"Veci verejne",1,"Ceska str.socialne demokrat.",1,"Strana zelenych",1,"Suverenita-blok J.Bobosikove",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",1
"Morocco","MAR","Czechia","CZE",2010-05-28,"Legislative",1,NA,NA,1,1,1,NA,1,"Komunisticka str.Cech a Moravy",0,"Ceska str.socialne demokrat.",0,"TOP 09",0,"Obcanska demokraticka strana",0,"Veci verejne",0,"Strana Prav Obcanu ZEMANOVCI",0,"Strana zelenych",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"Moldova","MDA","Czechia","CZE",2010-05-28,"Legislative",9,NA,NA,9,9,9,NA,4,"TOP 09",3,"Ceska str.socialne demokrat.",1,"Obcanska demokraticka strana",1,"Strana zelenych",0,"Veci verejne",0,"Komunisticka str.Cech a Moravy",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",3
"Montenegro","MNE","Czechia","CZE",2010-05-28,"Legislative",24,NA,NA,22,21,21,NA,9,"TOP 09",8,"Obcanska demokraticka strana",2,"Strana zelenych",1,"Komunisticka str.Cech a Moravy",1,"Krest.demokr.unie-Cs.str.lid.",0,"Ceska str.socialne demokrat.",0,"Veci verejne",0,"Strana Prav Obcanu ZEMANOVCI",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"Strana svobodnych obcanu",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",0
"North Macedonia","MKD","Czechia","CZE",2010-05-28,"Legislative",21,NA,NA,20,20,20,NA,8,"TOP 09",5,"Strana zelenych",3,"Obcanska demokraticka strana",2,"Ceska str.socialne demokrat.",1,"Komunisticka str.Cech a Moravy",1,"Strana svobodnych obcanu",0,"Veci verejne",0,"Strana Prav Obcanu ZEMANOVCI",0,"Krest.demokr.unie-Cs.str.lid.",0,"Suverenita-blok J.Bobosikove",0,"Volte Pr.Blok www.cibulka.net",0,"OBCANE.CZ",0,"Konzervativni strana",0,"Ceska piratska strana",0,"EVROPSKY STRED",0,"Delnic.str.socialni spravedl.",0,"STOP",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Ceska str.socialne demokrat.",2
