"country_of_residence","cor_iso3","country_of_origin","coo_iso3","election_date","election_type","registered_voters","null_votes","blanco_votes","total_votes","valid_votes","valid_votes2","invalid_votes","votes_party_1","party_party_1","votes_party_2","party_party_2","votes_party_3","party_party_3","votes_party_4","party_party_4","votes_party_5","party_party_5","votes_party_6","party_party_6","votes_party_7","party_party_7","votes_party_8","party_party_8","votes_party_9","party_party_9","votes_party_10","party_party_10","votes_party_11","party_party_11","votes_party_12","party_party_12","votes_party_13","party_party_13","votes_party_14","party_party_14","votes_party_15","party_party_15","votes_party_16","party_party_16","votes_party_17","party_party_17","votes_party_18","party_party_18","votes_party_19","party_party_19","votes_party_20","party_party_20","votes_party_21","party_party_21","votes_party_22","party_party_22","votes_party_23","party_party_23","votes_party_24","party_party_24","votes_party_25","party_party_25","votes_party_26","party_party_26","votes_party_27","party_party_27","votes_party_28","party_party_28","votes_party_29","party_party_29","national_winner","votes_national_winner"
"Slovakia","SVK","Poland","POL",2010-06-20,"Presidential",211,NA,NA,194,194,194,NA,120,"KOMOROWSKI Bronislaw Maria",50,"KACZYNSKI Jaroslaw Aleksander",12,"NAPIERALSKI Grzegorz Bernard",4,"KORWIN-MIKKE Janusz Ryszard",4,"OLECHOWSKI Andrzej Marian",3,"JUREK Marek",1,"PAWLAK Waldemar",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",120
"Syria","SYR","Poland","POL",2010-06-20,"Presidential",66,NA,NA,54,53,53,NA,26,"KOMOROWSKI Bronislaw Maria",12,"KACZYNSKI Jaroslaw Aleksander",9,"NAPIERALSKI Grzegorz Bernard",3,"JUREK Marek",2,"PAWLAK Waldemar",1,"LEPPER Andrzej Zbigniew",0,"KORWIN-MIKKE Janusz Ryszard",0,"MORAWIECKI Kornel Andrzej",0,"OLECHOWSKI Andrzej Marian",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",26
"Thailand","THA","Poland","POL",2010-06-20,"Presidential",71,NA,NA,57,57,57,NA,34,"KOMOROWSKI Bronislaw Maria",7,"KACZYNSKI Jaroslaw Aleksander",7,"KORWIN-MIKKE Janusz Ryszard",5,"NAPIERALSKI Grzegorz Bernard",2,"PAWLAK Waldemar",1,"JUREK Marek",1,"OLECHOWSKI Andrzej Marian",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",34
"Turkmenistan","TKM","Poland","POL",2010-06-20,"Presidential",28,NA,NA,25,25,25,NA,9,"KACZYNSKI Jaroslaw Aleksander",8,"KOMOROWSKI Bronislaw Maria",3,"NAPIERALSKI Grzegorz Bernard",2,"KORWIN-MIKKE Janusz Ryszard",2,"ZIETEK Boguslaw Zbigniew",1,"OLECHOWSKI Andrzej Marian",0,"JUREK Marek",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"PAWLAK Waldemar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",8
"Tunisia","TUN","Poland","POL",2010-06-20,"Presidential",288,NA,NA,239,235,235,NA,157,"KOMOROWSKI Bronislaw Maria",36,"KACZYNSKI Jaroslaw Aleksander",26,"NAPIERALSKI Grzegorz Bernard",6,"OLECHOWSKI Andrzej Marian",4,"KORWIN-MIKKE Janusz Ryszard",3,"JUREK Marek",2,"PAWLAK Waldemar",1,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",157
"Turkey","TUR","Poland","POL",2010-06-20,"Presidential",484,NA,NA,426,419,419,NA,292,"KOMOROWSKI Bronislaw Maria",74,"KACZYNSKI Jaroslaw Aleksander",26,"NAPIERALSKI Grzegorz Bernard",13,"KORWIN-MIKKE Janusz Ryszard",8,"OLECHOWSKI Andrzej Marian",3,"JUREK Marek",3,"PAWLAK Waldemar",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",292
"Taiwan","TWN","Poland","POL",2010-06-20,"Presidential",80,NA,NA,67,67,67,NA,41,"KOMOROWSKI Bronislaw Maria",12,"KACZYNSKI Jaroslaw Aleksander",5,"KORWIN-MIKKE Janusz Ryszard",3,"JUREK Marek",3,"OLECHOWSKI Andrzej Marian",2,"NAPIERALSKI Grzegorz Bernard",1,"PAWLAK Waldemar",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",41
"Ukraine","UKR","Poland","POL",2010-06-20,"Presidential",999,NA,NA,949,944,944,NA,452,"KOMOROWSKI Bronislaw Maria",363,"KACZYNSKI Jaroslaw Aleksander",58,"NAPIERALSKI Grzegorz Bernard",27,"JUREK Marek",23,"KORWIN-MIKKE Janusz Ryszard",13,"OLECHOWSKI Andrzej Marian",7,"PAWLAK Waldemar",1,"MORAWIECKI Kornel Andrzej",0,"LEPPER Andrzej Zbigniew",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",452
"US","USA","Poland","POL",2010-06-20,"Presidential",38831,NA,NA,33765,33457,33457,NA,23276,"KACZYNSKI Jaroslaw Aleksander",8423,"KOMOROWSKI Bronislaw Maria",790,"NAPIERALSKI Grzegorz Bernard",398,"KORWIN-MIKKE Janusz Ryszard",206,"OLECHOWSKI Andrzej Marian",162,"JUREK Marek",87,"LEPPER Andrzej Zbigniew",77,"PAWLAK Waldemar",31,"MORAWIECKI Kornel Andrzej",7,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",8423
"Uzbekistan","UZB","Poland","POL",2010-06-20,"Presidential",41,NA,NA,35,35,35,NA,18,"KOMOROWSKI Bronislaw Maria",9,"KACZYNSKI Jaroslaw Aleksander",6,"NAPIERALSKI Grzegorz Bernard",1,"JUREK Marek",1,"OLECHOWSKI Andrzej Marian",0,"KORWIN-MIKKE Janusz Ryszard",0,"LEPPER Andrzej Zbigniew",0,"MORAWIECKI Kornel Andrzej",0,"PAWLAK Waldemar",0,"ZIETEK Boguslaw Zbigniew",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"KOMOROWSKI Bronislaw Maria",18
